hidden_size, num_layers, dropout, bidirectional, loss, accuracy, precision, recall, f1
100, 2, 0, True, 0.6699165105819702, 0.7141216993331909, 0.8482490181922913, 0.5093457698822021, 0.636496365070343
100, 2, 0, False, 0.6443341970443726, 0.7106773853302002, 0.7767295837402344, 0.577102780342102, 0.6621983647346497
100, 2, 0.2, True, 0.514754593372345, 0.7623421549797058, 0.7649880051612854, 0.7453271150588989, 0.755029559135437
100, 2, 0.2, False, 0.6522915363311768, 0.700344443321228, 0.7889273166656494, 0.5327102541923523, 0.6359832286834717
100, 2, 0.5, True, 0.7636660933494568, 0.700344443321228, 0.803636372089386, 0.5163551568984985, 0.6287339925765991
100, 2, 0.5, False, 0.7371595501899719, 0.6727898716926575, 0.8016877770423889, 0.44392523169517517, 0.5714285969734192
100, 4, 0, True, 0.6098520755767822, 0.7451205253601074, 0.8322580456733704, 0.6028037667274475, 0.6991870403289795
100, 4, 0, False, 0.6980432868003845, 0.7037887573242188, 0.8148148059844971, 0.514018714427948, 0.6303724646568298
100, 4, 0.2, True, 0.745734453201294, 0.7152698040008545, 0.8409090638160706, 0.5186915993690491, 0.6416184902191162
100, 4, 0.2, False, 0.7653859853744507, 0.6521239876747131, 0.8531073331832886, 0.3528037369251251, 0.4991735816001892
100, 4, 0.5, True, 0.7059005498886108, 0.7129735946655273, 0.8027210831642151, 0.5514018535614014, 0.6537396311759949
100, 4, 0.5, False, 0.6765100955963135, 0.6991963386535645, 0.8267716765403748, 0.49065420031547546, 0.6158357858657837
100, 6, 0, True, 0.615462601184845, 0.7566016316413879, 0.8272727131843567, 0.6378504633903503, 0.7203165888786316
100, 6, 0, False, 0.6807512044906616, 0.7037887573242188, 0.8294573426246643, 0.5, 0.6239067316055298
100, 6, 0.2, True, 0.6811889410018921, 0.7359356880187988, 0.8299999833106995, 0.5817757248878479, 0.6840659379959106
100, 6, 0.2, False, 0.5635054111480713, 0.7210103273391724, 0.8315412402153015, 0.5420560836791992, 0.6562941670417786
100, 6, 0.5, True, 0.7669237852096558, 0.7141216993331909, 0.8509804010391235, 0.5070093274116516, 0.6354318857192993
100, 6, 0.5, False, 0.5697383880615234, 0.7451205253601074, 0.7696335315704346, 0.6869158744812012, 0.7259259223937988
150, 2, 0, True, 0.7469107508659363, 0.700344443321228, 0.812734067440033, 0.5070093274116516, 0.6244603991508484
150, 2, 0, False, 0.7941862344741821, 0.6831228733062744, 0.811475396156311, 0.46261683106422424, 0.5892857313156128
150, 2, 0.2, True, 0.7375925779342651, 0.708381175994873, 0.8222222328186035, 0.5186915993690491, 0.6361031532287598
150, 2, 0.2, False, 0.6492184996604919, 0.7072330713272095, 0.8777292370796204, 0.46962615847587585, 0.611872136592865
150, 2, 0.5, True, 0.7671617865562439, 0.7049368619918823, 0.8064516186714172, 0.5257009267807007, 0.6364921927452087
150, 2, 0.5, False, 0.7706978917121887, 0.6773822903633118, 0.8266666531562805, 0.43457943201065063, 0.5696784257888794
150, 4, 0, True, 0.7201506495475769, 0.7118254899978638, 0.8314606547355652, 0.5186915993690491, 0.6388489007949829
150, 4, 0, False, 0.783312201499939, 0.6727898716926575, 0.8592965006828308, 0.3995327055454254, 0.5454545617103577
150, 4, 0.2, True, 0.8575760722160339, 0.6957520246505737, 0.8122605085372925, 0.4953271150588989, 0.6153846383094788
150, 4, 0.2, False, 0.6517025828361511, 0.7060849666595459, 0.8071428537368774, 0.5280373692512512, 0.6384180188179016
150, 4, 0.5, True, 0.8160556554794312, 0.6808266639709473, 0.8640776872634888, 0.41588786244392395, 0.5615141987800598
150, 4, 0.5, False, 0.6196279525756836, 0.6957520246505737, 0.7963636517524719, 0.5116822719573975, 0.6230441331863403
150, 6, 0, True, 0.9147042036056519, 0.6877152919769287, 0.8119999766349792, 0.4742990732192993, 0.5988200902938843
150, 6, 0, False, 0.5262473225593567, 0.7428243160247803, 0.7670156955718994, 0.6845794320106506, 0.723456859588623
150, 6, 0.2, True, 0.5658792853355408, 0.7405281066894531, 0.7919074892997742, 0.6401869058609009, 0.7080103158950806
150, 6, 0.2, False, 0.7997366786003113, 0.6773822903633118, 0.8101266026496887, 0.44859811663627625, 0.5774435997009277
150, 6, 0.5, True, 0.5708751082420349, 0.7520092129707336, 0.8136094808578491, 0.6425233483314514, 0.7180156111717224
150, 6, 0.5, False, 0.8397986888885498, 0.6636050343513489, 0.8026905655860901, 0.4182243049144745, 0.5499232411384583
200, 2, 0, True, 0.7077141404151917, 0.7198622226715088, 0.8087248206138611, 0.5630841255187988, 0.6639118194580078
200, 2, 0, False, 0.7437867522239685, 0.6888633966445923, 0.8054474592208862, 0.48364487290382385, 0.6043795943260193
200, 2, 0.2, True, 0.734304666519165, 0.7233065366744995, 0.8424908518791199, 0.5373831987380981, 0.6562054753303528
200, 2, 0.2, False, 0.9573870897293091, 0.641791045665741, 0.862500011920929, 0.322429895401001, 0.4693877696990967
200, 2, 0.5, True, 0.8758907318115234, 0.6888633966445923, 0.8369098901748657, 0.45560747385025024, 0.5900150537490845
200, 2, 0.5, False, 0.7748206257820129, 0.6636050343513489, 0.8229665160179138, 0.40186914801597595, 0.5400314331054688
200, 4, 0, True, 0.760698139667511, 0.7060849666595459, 0.8307692408561707, 0.5046728849411011, 0.6279069781303406
200, 4, 0, False, 0.8093892931938171, 0.6647531390190125, 0.8300970792770386, 0.3995327055454254, 0.5394322276115417
200, 4, 0.2, True, 1.0802785158157349, 0.6601607203483582, 0.8473684191703796, 0.37616822123527527, 0.5210356116294861
200, 4, 0.2, False, 0.7582624554634094, 0.7152698040008545, 0.7941176295280457, 0.5677570104598999, 0.6621254086494446
200, 4, 0.5, True, 0.8110768795013428, 0.6957520246505737, 0.7820069193840027, 0.5280373692512512, 0.6304044723510742
200, 4, 0.5, False, 0.7482489943504333, 0.6900115013122559, 0.8038461804389954, 0.4883177578449249, 0.6075581312179565
200, 6, 0, True, 0.853958010673523, 0.6785303950309753, 0.8363636136054993, 0.42990654706954956, 0.5679012537002563
200, 6, 0, False, 0.8895605802536011, 0.6681974530220032, 0.8756756782531738, 0.3785046637058258, 0.5285481214523315
200, 6, 0.2, True, 0.8029358386993408, 0.7072330713272095, 0.7932203412055969, 0.5467289686203003, 0.6473028659820557
200, 6, 0.2, False, 0.9405595660209656, 0.6567164063453674, 0.868571400642395, 0.35514017939567566, 0.5041459202766418
200, 6, 0.5, True, 0.8618889451026917, 0.684270977973938, 0.8525345325469971, 0.4322429895401001, 0.5736433863639832
200, 6, 0.5, False, 0.8921424746513367, 0.6808266639709473, 0.8151260614395142, 0.4532710313796997, 0.5825825929641724
